<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLA.US,5,20200818,190000,377.85,377.85,376.4,376.53,331830,0
TSLA.US,5,20200818,190500,376.59,378.06,376.35,377.88,231700,0
TSLA.US,5,20200818,191000,377.87,378.39,377.02,377.54,168765,0
TSLA.US,5,20200818,191500,377.72,377.99,376.91,377.22,125510,0
TSLA.US,5,20200818,192000,377.33,377.46,375.97,376.71,231970,0
TSLA.US,5,20200818,192500,376.71,378.4,376.62,377.66,255270,0
TSLA.US,5,20200818,193000,377.7,378.34,377.4,377.44,207425,0
TSLA.US,5,20200818,193500,377.37,377.85,377,377.59,113670,0
TSLA.US,5,20200818,194000,377.47,378.17,376.65,376.92,195600,0
TSLA.US,5,20200818,194500,377.11,377.4,376.84,377.36,97170,0
TSLA.US,5,20200818,195000,377.39,377.61,376.8,377.04,69370,0
TSLA.US,5,20200818,195500,376.91,378.4,376.69,378.2,234865,0
TSLA.US,5,20200818,200000,378.2,379.26,377.42,377.77,310630,0
TSLA.US,5,20200818,200500,377.79,378.8,377.29,378.44,214920,0
TSLA.US,5,20200818,201000,378.37,379.24,378,378.27,205505,0
TSLA.US,5,20200818,201500,378.24,381.55,378.21,381.11,760595,0
TSLA.US,5,20200818,202000,381.1,381.71,380.32,380.52,366095,0
